name,type,parent,rquired
One (1) Any valid identification card of the client/ person to be interviewed,assistance_requirements,Transportation Assistance,TRUE
"Police Blotter/ Police Certification (for victims of pickpockets, illegal recruitment, etc.)",assistance_requirements,Transportation Assistance,TRUE
"Other supporting document/s such as but
not limited to, justification of the social
worker, medical certificate, death
certificate, and/or court order/subpoena",assistance_requirements,Transportation Assistance,TRUE
"Barangay Certificate or Residency or
Certificate of Indigency or Certificate of
the client is in need of assistance may be
required",assistance_requirements,Transportation Assistance,TRUE
One (1) Any valid identification card of the client/ person to be interviewed,assistance_requirements,Medical Assistance for Hospital Bill,TRUE
"Medical Certificate/Clinical Abstract complete with name, license number and signature of the Physician issued within three months (Original / Certified true copy)",assistance_requirements,Medical Assistance for Hospital Bill,TRUE
Hospital bill / Statement of Account (outstanding balance) with name and signature,assistance_requirements,Medical Assistance for Hospital Bill,TRUE
Social Case Study Report/ Case Summary,assistance_requirements,Medical Assistance for Hospital Bill,FALSE
Barangay Certificate or Residency or Certificate of Indigency or Certificate of the client is in need of assistance may be required,assistance_requirements,Medical Assistance for Hospital Bill,TRUE
One (1) Any valid identification card,assistance_requirements,Medical Assistance for Medicine/ Assistive Device,TRUE
"Medical Certificate/Clinical Abstract complete with name, license number and signature of the Physician issued within three months (Original / Certified true copy)",assistance_requirements,Medical Assistance for Medicine/ Assistive Device,TRUE
"Prescription with date of issuance, complete name, license number and signature of the Physician issued within three months.",assistance_requirements,Medical Assistance for Medicine/ Assistive Device,TRUE
Social Case Study Report/ Case Summary,assistance_requirements,Medical Assistance for Medicine/ Assistive Device,FALSE
Barangay Certificate or Residency or Certificate of Indigency or Certificate of the client is in need of assistance may be required,assistance_requirements,Medical Assistance for Medicine/ Assistive Device,TRUE
One (1) Any valid identification card of the client/ person to be interviewed,assistance_requirements,Medical Assistance for Laboratory Requests,TRUE
"Medical Certificate/Clinical Abstract complete with name, license number and signature of the Physician issued within three months (Original / Certified true copy)",assistance_requirements,Medical Assistance for Laboratory Requests,TRUE
"Laboratory Requests with name, license number and signature of the Physician",assistance_requirements,Medical Assistance for Laboratory Requests,TRUE
Social Case Study Report/ Case Summary,assistance_requirements,Medical Assistance for Laboratory Requests,FALSE
Barangay Certificate or Residency or Certificate of Indigency or Certificate of the client is in need of assistance may be required,assistance_requirements,Medical Assistance for Laboratory Requests,TRUE
One (1) Any valid identification card of the client/ person to be interviewed,assistance_requirements,Burial Assistance for Funeral Bill,TRUE
Registered Death Certificate/ Certification from the Tribal Chieftain (Original / certified true copy,assistance_requirements,Burial Assistance for Funeral Bill,TRUE
Funeral Contract,assistance_requirements,Burial Assistance for Funeral Bill,TRUE
Barangay Certificate or Residency or Certificate of Indigency or Certificate of the client is in need of assistance may be required,assistance_requirements,Burial Assistance for Funeral Bill,TRUE
One (1) Any valid identification card of the client/ person to be interviewed,assistance_requirements,Burial Assistance for Transfer of Cadaver,TRUE
Registered Death Certificate/ Certification from the Tribal Chieftain (Original / certified true copy),assistance_requirements,Burial Assistance for Transfer of Cadaver,TRUE
Funeral Contract,assistance_requirements,Burial Assistance for Transfer of Cadaver,TRUE
Transfer Permit ,assistance_requirements,Burial Assistance for Transfer of Cadaver,TRUE
Barangay Certificate or Residency or Certificate of Indigency or Certificate of the client is in need of assistance may be required,assistance_requirements,Burial Assistance for Transfer of Cadaver,TRUE
One (1) Validated School ID,assistance_requirements,Educational Assistance,TRUE
One (1) Valid I.D of the Parent/guardian,assistance_requirements,Educational Assistance,TRUE
Enrolment Assessment Form or Certificate of Enrolment or Registration,assistance_requirements,Educational Assistance,TRUE
"Statement of Account for college students, when available. This may not available to State Universities",assistance_requirements,Educational Assistance,TRUE
Barangay Certificate or Residency or Certificate of Indigency or Certificate of the client is in need of assistance may be required,assistance_requirements,Educational Assistance,TRUE
One (1) identification card of the client/person to be interviewed,assistance_requirements,Food Assistance for Individual and Families Endorsed in Groups,TRUE
Project proposal and Food distribution List(CRCF client),assistance_requirements,Food Assistance for Individual and Families Endorsed in Groups,TRUE
Barangay Certificate or Residency or Certificate of Indigency or Certificate of the client is in need of assistance may be required,assistance_requirements,Food Assistance for Individual and Families Endorsed in Groups,TRUE
One (1) identification card of the client/person to be interviewed,assistance_requirements,Cash Assistance for Fire Victim,TRUE
Police Report/ Bureau of Fire Protection Report from the Bureau of Fire,assistance_requirements,Cash Assistance for Fire Victim,TRUE
One (1) identification card of the client/person to be interviewed,assistance_requirements,Cash Assistance for Distressed OFs,TRUE
Passport,assistance_requirements,Cash Assistance for Distressed OFs,TRUE
Travel Documents,assistance_requirements,Cash Assistance for Distressed OFs,TRUE
Certification from OWWA or the Barangay,assistance_requirements,Cash Assistance for Distressed OFs,TRUE
One (1) identification card of the client/person to be interviewed,assistance_requirements,Cash Assistance for Rescued Client,TRUE
Certification from a social worker or Case manager from rescued clients.,assistance_requirements,Cash Assistance for Rescued Client,TRUE
One (1) identification card of the client/person to be interviewed,assistance_requirements,Cash Assistance for Victims of Online Sexual Exploitation,TRUE
Police Report,assistance_requirements,Cash Assistance for Victims of Online Sexual Exploitation,TRUE
Social Worker’s certification for the victims of online sexual exploitation of children,assistance_requirements,Cash Assistance for Victims of Online Sexual Exploitation,TRUE
One (1) identification card of the client/person to be interviewed,assistance_requirements,Cash Assistance for Locally stranded individuals (LSI),TRUE
"LSI without valid IDs, the Medical Certificate or the Travel Authority issued by the Philippine National Police will suffice and be accepted to prove his/her identity.",assistance_requirements,Cash Assistance for Locally stranded individuals (LSI),TRUE
